date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:08:00	44669/44669	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:03%20GMT	https://www.apple.com/ro/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ro/index.html	(from https://www.apple.com/)
08:08:00	44645/44645	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:04%20GMT	https://www.apple.com/sa/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/sa/index.html	(from https://www.apple.com/)
08:08:01	35156/35156	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202020%2002:38:04%20GMT	https://www.apple.com/Unable%20to%20load%20target-vec.js	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/Unable%20to%20load%20target-vec.js	(from https://www.apple.com/metrics/target/scripts/1.0/at.js)
08:08:01	51280/51280	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:04%20GMT	https://www.apple.com/se/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/se/index.html	(from https://www.apple.com/)
08:08:01	55197/55197	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:04%20GMT	https://www.apple.com/sg/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/sg/index.html	(from https://www.apple.com/)
08:08:01	40346/40346	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:05%20GMT	https://www.apple.com/si/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/si/index.html	(from https://www.apple.com/)
08:08:02	35156/35156	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202020%2002:38:05%20GMT	https://www.apple.com/Loading%20target-vec.js	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/Loading%20target-vec.js	(from https://www.apple.com/metrics/target/scripts/1.0/at.js)
08:08:49	43029/43029	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:06%20GMT	https://www.apple.com/sn/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/sn/index.html	(from https://www.apple.com/)
08:08:49	58793/58793	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:06%20GMT	https://www.apple.com/th/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/th/index.html	(from https://www.apple.com/)
08:08:50	43784/43784	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:06%20GMT	https://www.apple.com/sk/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/sk/index.html	(from https://www.apple.com/)
08:08:50	43017/43017	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:06%20GMT	https://www.apple.com/tn/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/tn/index.html	(from https://www.apple.com/)
08:09:37	50156/50156	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:54%20GMT	https://www.apple.com/tw/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/tw/index.html	(from https://www.apple.com/)
08:09:38	52045/52045	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:54%20GMT	https://www.apple.com/uk/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/uk/index.html	(from https://www.apple.com/)
08:09:38	42592/42592	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:54%20GMT	https://www.apple.com/ug/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ug/index.html	(from https://www.apple.com/)
08:09:38	53045/53045	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:38:55%20GMT	https://www.apple.com/tr/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/tr/index.html	(from https://www.apple.com/)
08:09:38	100814/100814	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/mac/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mac/index.html	(from https://www.apple.com/)
08:09:38	53337/53337	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/vn/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/vn/index.html	(from https://www.apple.com/)
08:09:39	50217/50217	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/ac/globalnav/5/ar_AE/styles/ac-globalnav.built.css	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ac/globalnav/5/ar_AE/styles/ac-globalnav.built.css	(from https://www.apple.com/ae-ar/)
08:09:39	43791/43791	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/za/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/za/index.html	(from https://www.apple.com/)
08:09:39	85636/85636	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/ipad/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ipad/index.html	(from https://www.apple.com/)
08:09:39	95125/95125	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:42%20GMT	https://www.apple.com/iphone/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/iphone/index.html	(from https://www.apple.com/)
08:09:39	81482/81482	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:43%20GMT	https://www.apple.com/watch/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/watch/index.html	(from https://www.apple.com/)
08:09:39	100809/100809	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:43%20GMT	https://www.apple.com/ac/localnav/3.0/styles/ac-localnav.rtl.built.css	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ac/localnav/3.0/styles/ac-localnav.rtl.built.css	(from https://www.apple.com/ae-ar/)
08:09:39	60455/60455	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:43%20GMT	https://www.apple.com/tv/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/tv/index.html	(from https://www.apple.com/)
08:09:40	50238/50238	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:43%20GMT	https://www.apple.com/ac/globalfooter/5/ar_AE/styles/ac-globalfooter.built.css	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ac/globalfooter/5/ar_AE/styles/ac-globalfooter.built.css	(from https://www.apple.com/ae-ar/)
08:09:40	116180/116180	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:44%20GMT	https://www.apple.com/iphone-se/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/iphone-se/index.html	(from https://www.apple.com/)
08:09:40	11847/11847	---M--	200	added ('OK')	image/png	date:Tue,%2003%20May%202016%2020:25:50%20GMT	https://www.apple.com/ac/structured-data/images/open_graph_logo.png?201810271011	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ac/structured-data/images/open_graph_logodced.png	(from https://www.apple.com/ae-ar/)
08:09:40	72071/72071	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:44%20GMT	https://www.apple.com/music/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/music/index.html	(from https://www.apple.com/)
08:09:41	26720/26720	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:44%20GMT	https://www.apple.com/wss/fonts?families=SF+Pro,v3|SF+Pro+AR,v1|SF+Pro+Icons,v3	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/wss/fonts32f9.css	(from https://www.apple.com/ae-ar/)
08:09:41	66001/66001	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:44%20GMT	https://www.apple.com/airpods/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/airpods/index.html	(from https://www.apple.com/)
08:09:41	63971/63971	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:44%20GMT	https://www.apple.com/ipod-touch/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/ipod-touch/index.html	(from https://www.apple.com/)
08:09:41	98432/98432	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:45%20GMT	https://www.apple.com/apple-music/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/apple-music/index.html	(from https://www.apple.com/)
08:09:41	558966/558966	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:45%20GMT	https://www.apple.com/mideast/home/f/built/styles/main.rtl.built.css	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/f/built/styles/main.rtl.built.css	(from https://www.apple.com/ae-ar/)
08:09:41	93820/93820	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:45%20GMT	https://www.apple.com/homepod/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/homepod/index.html	(from https://www.apple.com/)
08:09:42	79079/79079	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:45%20GMT	https://www.apple.com/apple-news/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/apple-news/index.html	(from https://www.apple.com/)
08:09:42	671/671	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2002:39:45%20GMT	https://www.apple.com/mideast/home/f/styles/main.rtl.css	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/f/styles/main.rtl.css	(from https://www.apple.com/ae-ar/)
08:09:42	13860/13860	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2015:34:04%20GMT	https://www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_large.jpg	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_large.jpg	(from https://www.apple.com/ae-ar/)
08:09:42	79509/79509	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:46%20GMT	https://www.apple.com/apple-card/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/apple-card/index.html	(from https://www.apple.com/)
08:09:42	25012/25012	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2015:34:04%20GMT	https://www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_large_2x.jpg	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_large_2x.jpg	(from https://www.apple.com/ae-ar/)
08:09:43	85764/85764	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:46%20GMT	https://www.apple.com/apple-tv-plus/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/apple-tv-plus/index.html	(from https://www.apple.com/)
08:09:43	91871/91871	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:46%20GMT	https://www.apple.com/apple-arcade/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/apple-arcade/index.html	(from https://www.apple.com/)
08:09:43	13884/13884	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2015:34:04%20GMT	https://www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_medium.jpg	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_medium.jpg	(from https://www.apple.com/ae-ar/)
08:09:43	25271/25271	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2015:34:04%20GMT	https://www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_medium_2x.jpg	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_medium_2x.jpg	(from https://www.apple.com/ae-ar/)
08:09:44	80358/80358	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:47%20GMT	https://www.apple.com/icloud/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/icloud/index.html	(from https://www.apple.com/)
08:09:44	217201/217201	---M-Z	200	added ('OK')	text/html	etag:W/%2235071-3y5cjSx/giy3/MnHyy627rIOBRc%22	https://www.apple.com/today/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/today/index.html	(from https://www.apple.com/)
08:09:44	14212/14212	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2015:34:04%20GMT	https://www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_small.jpg	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/mideast/home/heroes/iphone-takeover/images/ar/water_dust_resistant__buxq48yeb5qq_small.jpg	(from https://www.apple.com/ae-ar/)
08:09:44	54665/54665	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2002:39:47%20GMT	https://www.apple.com/retail/	C:/Users/Utsav/Desktop/apple/Apple/www.apple.com/retail/index.html	(from https://www.apple.com/)
